#auto generated file!
taskId;TASK_STATUS;deviceId(mobile);datacenterId(type);hostId (i.e., EdgeServerId);vmId;vmType;ApplicationID(taskType);taskLenght (Million Instruction);taskInputSize(KB, namely data to be uploaded);taskOutputSize(KB, namely data to be downloaded);taskStartTime(millisecond);taskEndTime(millisecond);taskStartDeviceEnergy(Watt-Hour);taskEndDeviceEnergy(Watt-Hour);taskStartDeviceEnergyPerc;taskEndDeviceEnergyPerc;getNetworkDelay;WLAN_DELAY;MAN_DELAY;WAN_DELAY;GSM_DELAY;TASK_FAIL_REASON
323;COMPLETED;25;1003;1;2;1;0;3784;1;5;189,66846571153087;190,6146474465297;8,228867717328226;8,228312161341321;98,90491173267137;98,89823436006861;1,817349988179842E-4;1,817349988179842E-4;0,0;0,0;0,0;COMLETED
325;COMPLETED;12;1003;0;1;1;0;966;1;1;190,62932818803228;190,8708887663652;1,4649263629302334;1,464370807257961;94,11107040349616;94,07537991398807;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
324;COMPLETED;19;1003;0;0;1;0;3793;1;1;190,17537499720032;191,1236387663652;3,0492851565694155;3,0484518231193656;97,09015040944975;97,06361682342803;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
327;COMPLETED;10;1003;0;0;1;0;2877;1;1;192,02812801505019;192,7474385933831;6,31776575483434;6,317487976939846;98,56127307504256;98,55693955842041;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
328;COMPLETED;8;1003;0;0;1;0;1470;1;1;207,19189055459233;207,55945113292526;7,775450976456526;7,7748954207842536;98,82434445024275;98,81728345464467;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
329;COMPLETED;26;1003;0;1;1;0;143;1;3;207,54708579633495;207,5827617112582;6,455648306184975;6,455370528133164;98,58320491108925;98,57896300550478;1,2115666587865615E-4;1,2115666587865615E-4;0,0;0,0;0,0;COMLETED
330;COMPLETED;0;1003;0;0;1;0;972;1;1;207,7355527379172;207,97855348262752;8,082210201104782;8,081654645432511;98,86174272613029;98,85494715900504;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
331;COMPLETED;8;1003;0;1;1;0;2426;1;1;207,8687429042946;208,47529589118506;7,774617643006476;7,774062087296145;98,81375295758735;98,80669196150555;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
332;COMPLETED;8;1003;0;0;1;0;2118;1;1;208,14873531285212;208,67829589118506;7,7743398651906395;7,774062087217487;98,81022246004632;98,80669196050582;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
334;COMPLETED;7;1003;0;1;1;0;237;1;2;209,26913238029655;209,32847324779596;7,461426322046714;7,461148544073561;98,75368262244585;98,75000616748721;9,086749940899212E-5;9,086749940899212E-5;0,0;0,0;0,0;COMLETED
326;COMPLETED;5;1003;1;2;1;0;36;1;1;190,71116834709372;209,8676546296851;8,579330238248756;8,576274682576484;98,93966632845643;98,90442865252285;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
337;COMPLETED;3;1003;1;2;1;0;292;1;1;209,89553440420335;209,96859498253627;5,499576627214628;5,499298849320134;98,30192688426015;98,296961756192;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
336;COMPLETED;28;1003;1;3;1;0;1501;1;1;209,86759405135217;210,24284498253627;1,5502923449252888;1,5494590114752387;94,24186108061825;94,19120296088327;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
338;COMPLETED;7;1003;1;2;1;0;360;1;1;210,31678576550743;210,40684634384036;7,46003743296245;7,4597596550679555;98,73530035799597;98,73162390407839;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
335;COMPLETED;21;1003;0;1;1;0;4013;1;1;209,71350329086934;210,71681386920227;6,440619668473961;6,439230779468356;98,55480460714965;98,53355173217577;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
333;COMPLETED;26;1003;0;0;1;0;8465;1;1;209,02096900577533;211,13706386920225;6,454537194799831;6,4525927502386695;98,56623730130548;98,53654398972473;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
341;COMPLETED;19;1003;1;2;1;0;848;1;1;211,71418103159502;211,9259927403878;3,0442851564526987;3,0437296007804266;96,93094891190091;96,91325985331433;6,057833293932807E-5;6,057833293932807E-5;0,0;0,0;0,0;COMLETED
339;COMPLETED;17;1003;0;0;1;0;1170;2;1;211,6382529205693;211,9307748641382;5,7920291537816535;5,790918042515767;98,37235780007323;98,35348658376864;9,086749940899212E-5;9,086749940899212E-5;0,0;0,0;0,0;COMLETED
340;COMPLETED;3;1003;0;1;1;0;1603;4;1;211,67587341830586;212,0768036360718;5,4984655159868;5,497354404644797;98,28206637824633;98,26220587019172;1,8021776595986074E-4;1,8021776595986074E-4;0,0;0,0;0,0;COMLETED
