#auto generated file!
taskId;TASK_STATUS;deviceId(mobile);datacenterId(type);hostId (i.e., EdgeServerId);vmId;vmType;ApplicationID(taskType);taskLenght (Million Instruction);taskInputSize(KB, namely data to be uploaded);taskOutputSize(KB, namely data to be downloaded);taskStartTime(millisecond);taskEndTime(millisecond);taskStartDeviceEnergy(Watt-Hour);taskEndDeviceEnergy(Watt-Hour);taskStartDeviceEnergyPerc;taskEndDeviceEnergyPerc;getNetworkDelay;WLAN_DELAY;MAN_DELAY;WAN_DELAY;GSM_DELAY;TASK_FAIL_REASON
299;COMPLETED;29;1001;32;34;0;0;1546;1;1;184,19538642165534;184,58175834351968;6,647815052665641;6,646703941418316;98,74567453286328;98,729170248564;0,0;0,0;0,0;0,0;0,0;COMLETED
302;COMPLETED;10;1001;13;15;0;0;1123;1;1;184,37707423703708;184,67595794673778;7,888738602823491;7,888183047131721;98,93055424242033;98,92358716754735;0,0;0,0;0,0;0,0;0,0;COMLETED
301;COMPLETED;4;1001;7;9;0;0;1972;2;1;184,36237349582478;184,85520794673778;7,2397984063301495;7,238965072846166;98,8395584802075;98,82818160076957;0,0;0,0;0,0;0,0;0,0;COMLETED
303;COMPLETED;3;1001;6;8;0;0;2595;1;1;184,6559579467378;185,3045441126109;1,9159578326418751;1,915124499172328;95,7254566454688;95,68382147712047;0,0;0,0;0,0;0,0;0,0;COMLETED
305;COMPLETED;10;1001;13;15;0;0;890;1;1;185,23632724357222;185,45861669903988;7,8879052693539435;7,887349713662174;98,92010363096497;98,91313655609198;0,0;0,0;0,0;0,0;0,0;COMLETED
306;COMPLETED;29;1001;32;34;0;0;831;1;1;185,41211669903987;185,61986669903987;6,645870608084983;6,645592830170991;98,71679203685703;98,71266596426474;0,0;0,0;0,0;0,0;0,0;COMLETED
304;COMPLETED;18;1001;21;23;0;0;2428;1;1;185,2045441126109;185,81136669903987;2,6344169260046084;2,6335835925350612;96,8446530255038;96,81401858419113;0,0;0,0;0,0;0,0;0,0;COMLETED
307;COMPLETED;29;1001;32;34;0;0;885;1;1;185,83269945851882;186,05373790619157;6,645592830170991;6,645037274479222;98,71266596426474;98,70441382110346;0,0;0,0;0,0;0,0;0,0;COMLETED
308;COMPLETED;27;1001;30;32;0;0;1004;1;1;185,93948790619157;186,19034717484146;1,6616159108116724;1,6610603551199028;95,02765541921535;94,9958832422037;0,0;0,0;0,0;0,0;0,0;COMLETED
313;COMPLETED;12;1001;15;17;0;0;1099;1;1;186,5035556342844;186,7783056342844;4,254232117035448;4,2539543391214565;97,96587211624988;97,95947548464866;0,0;0,0;0,0;0,0;0,0;COMLETED
309;COMPLETED;5;1001;8;10;0;0;2982;1;1;186,13684717484145;186,88216387692003;3,1464578245662307;3,14479115776335;97,30269470013998;97,25115383096913;0,0;0,0;0,0;0,0;0,0;COMLETED
315;COMPLETED;1;1001;4;6;0;0;508;1;1;186,88222239299196;187,00922239299197;5,074048282360853;5,073770504446861;98,27832708470496;98,27294685433087;0,0;0,0;0,0;0,0;0,0;COMLETED
310;COMPLETED;1;1001;4;6;0;0;3390;1;1;186,28566387692004;187,13297239299197;5,075437171264178;5,073492726547306;98,30522822366332;98,26756662423644;0,0;0,0;0,0;0,0;0,0;COMLETED
314;COMPLETED;28;1001;31;33;0;0;1443;1;1;186,78306143351367;187,14381143351366;6,583619716742906;6,582786383273358;98,67194174068968;98,65945216275298;0,0;0,0;0,0;0,0;0,0;COMLETED
317;COMPLETED;7;1001;10;12;0;0;371;5;1;187,18146442501876;187,2741586577309;4,777475759255509;4,776920203505996;98,16219614293189;98,1507812085188;0,0;0,0;0,0;0,0;0,0;COMLETED
316;COMPLETED;2;1001;5;7;0;0;911;4;1;187,10140842766447;187,32890865773092;2,048800040717711;2,0479667072048553;95,82937060894558;95,79039275632103;0,0;0,0;0,0;0,0;0,0;COMLETED
319;COMPLETED;2;1001;5;7;0;0;272;1;1;187,6577393278173;187,7257393278173;2,0479667072048553;2,0476889292908633;95,79039275632103;95,77740013520726;0,0;0,0;0,0;0,0;0,0;COMLETED
312;COMPLETED;25;1001;28;30;0;0;5173;1;1;186,48168696242078;187,7747393278173;6,260407714394174;6,258185492035738;98,61296264884258;98,57795854999993;0,0;0,0;0,0;0,0;0,0;COMLETED
311;COMPLETED;26;1001;29;31;0;0;5846;3;2;186,4362517159769;187,89773932781728;1,692635370827754;1,6901353705408901;95,06980841737297;94,92939155476228;0,0;0,0;0,0;0,0;0,0;COMLETED
318;COMPLETED;5;1001;8;10;0;0;4467;1;2;187,2194086577309;188,3359893278173;3,1439578244300166;3,1431244908386917;97,2253833984899;97,19961295803238;0,0;0,0;0,0;0,0;0,0;COMLETED
320;COMPLETED;7;1001;10;12;0;0;2864;1;1;188,17885900293703;188,89468472801653;4,776642425728218;4,775809092258671;98,14507374330485;98,12795134486429;0,0;0,0;0,0;0,0;0,0;COMLETED
322;COMPLETED;8;1001;11;13;0;0;1959;1;1;188,721001745467;189,21060211275847;8,398217767257925;8,397384433788378;98,92999424335487;98,92017767540797;0,0;0,0;0,0;0,0;0,0;COMLETED
